Metric Category,Metric,Minimum Metrics Verbosity,Include,Metric Verbosity,Absolute Threshold,Percent Threshold,Include in Docs,Description
Dwelling,Total Electric Energy (kWh),1,TRUE,1,200,5,TRUE,Total dwelling real electric energy consumption
Docs,<end use> Electric Energy (kWh),2,FALSE,,,,TRUE,Real electric energy consumption of all equipment within the end use
HVAC Heating,HVAC Heating Electric Energy (kWh),2,TRUE,,200,5,FALSE,
HVAC Cooling,HVAC Cooling Electric Energy (kWh),2,TRUE,,200,5,FALSE,
Water Heating,Water Heating Electric Energy (kWh),2,TRUE,,200,5,FALSE,
EV,EV Electric Energy (kWh),2,TRUE,,200,5,FALSE,
Other,Other Electric Energy (kWh),2,TRUE,,200,5,FALSE,
Other,Lighting Electric Energy (kWh),2,TRUE,,200,5,FALSE,
Docs,<equipment name> Electric Energy (kWh),5,FALSE,,,,TRUE,Real electric energy consumption of the equipment
Other,Clothes Washer Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Clothes Dryer Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Dishwasher Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Refrigerator Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Cooking Range Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Exterior Lighting Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Garage Lighting Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Basement Lighting Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,MELs Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,TV Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Well Pump Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Gas Grill Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Gas Fireplace Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Gas Lighting Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Pool Pump Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Pool Heater Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Hot Tub Pump Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Hot Tub Heater Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Ceiling Fan Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Other,Ventilation Fan Electric Energy (kWh),5,TRUE,,200,5,FALSE,
Dwelling,Total Reactive Energy (kVARh),7,FALSE,,,,TRUE,Total dwelling reactive electric energy consumption
Docs,<end use> Reactive Energy (kVARh),7,FALSE,,,,TRUE,Reactive electric energy consumption of all equipment within the end use
Docs,<equipment name> Reactive Energy (kVARh),7,FALSE,,,,TRUE,Reactive electric energy consumption of the equipment
Dwelling,Total Gas Energy (therms),1,TRUE,,10,5,TRUE,Total dwelling gas energy consumption
Docs,<end use> Gas Energy (therms),2,FALSE,,,,TRUE,Gas energy consumption of all equipment within the end use
HVAC Heating,HVAC Heating Gas Energy (therms),2,TRUE,,10,5,FALSE,
Water Heating,Water Heating Gas Energy (therms),2,TRUE,,10,5,FALSE,
Other,Other Gas Energy (therms),2,TRUE,,10,5,FALSE,
Docs,<equipment name> Gas Energy (therms),5,FALSE,,,,TRUE,Gas energy consumption of the equipment
Other,Cooking Range Gas Energy (therms),5,TRUE,,10,5,FALSE,
Other,Clothes Dryer Gas Energy (therms),5,TRUE,,10,5,FALSE,
Other,MGLs Gas Energy (therms),5,TRUE,,10,5,FALSE,
Envelope,Average Temperature - <zone name> (C),3,FALSE,,,,TRUE,Average temperature of the zone
Envelope,Average Temperature - Indoor (C),3,TRUE,,0.1,1,FALSE,
Envelope,Average Temperature - Foundation (C),3,TRUE,,0.5,5,FALSE,
Envelope,Average Temperature - Attic (C),3,TRUE,,0.5,5,FALSE,
Envelope,Average Temperature - Garage (C),3,TRUE,,0.5,5,FALSE,
Envelope,Unmet <Heating or Cooling> Load (C-hours),4,FALSE,,,,TRUE,Unmet HVAC load. Based on the difference between actual and desired temperature and the duration of the unmet load
Envelope,Unmet Heating Load (C-hours),4,TRUE,,20,5,FALSE,
Envelope,Unmet Cooling Load (C-hours),4,TRUE,,20,5,FALSE,
Envelope,Component Load - Internal Gains (kWh),6,FALSE,,,,TRUE,Total HVAC load (heating minus cooling) induced by internal gains
Envelope,Component Load - Infiltration (kWh),6,FALSE,,,,TRUE,Total HVAC load (heating minus cooling) induced by infiltration
Envelope,Component Load - Forced Ventilation (kWh),6,FALSE,,,,TRUE,Total HVAC load (heating minus cooling) induced by forced ventilation
Envelope,Component Load - Natural Ventilation (kWh),6,FALSE,,,,TRUE,Total HVAC load (heating minus cooling) induced by natural ventilation
Envelope,"Component Load - Ducts, Heating (kWh)",6,FALSE,,,,TRUE,Total HVAC heating load induced by duct losses
Envelope,"Component Load - Ducts, Cooling (kWh)",6,FALSE,,,,TRUE,Total HVAC cooling load induced by duct losses
HVAC Heating,Total HVAC <Heating or Cooling> Delivered (kWh),4,TRUE,,200,5,FALSE,
HVAC Heating,Total HVAC Heating Delivered (kWh),4,TRUE,,200,5,FALSE,
HVAC Cooling,Total HVAC Cooling Delivered (kWh),4,TRUE,,200,5,FALSE,
Dwelling,Average Electric Power (kW),6,FALSE,,1,10,TRUE,Average dwelling real electric power 
Dwelling,Peak Electric Power (kW),6,FALSE,,1,10,TRUE,"Peak dwelling real electric power, using simulation time resolution"
Dwelling,Peak Electric Power - <time resolution> avg (kW),6,FALSE,,,,TRUE,"Peak dwelling real electric power, using specified time resolution"
Dwelling,Peak Electric Power - 15 min avg (kW),6,FALSE,,1,10,FALSE,
Dwelling,Peak Electric Power - 30 min avg (kW),6,FALSE,,1,10,FALSE,
Dwelling,Peak Electric Power - 1 hour avg (kW),6,FALSE,,1,10,FALSE,
HVAC Heating,Average HVAC <Heating or Cooling> Capacity (kW),8,FALSE,,,,TRUE,Average heating capacity of HVAC equipment
HVAC Heating,HVAC <Heating or Cooling> Main Energy (kWh),5,FALSE,,,,TRUE,Total electric or gas energy consumed by main HVAC element (excludes fan and other peripherals)
HVAC Heating,HVAC <Heating or Cooling> Fan Energy (kWh),4,FALSE,,,,TRUE,Total energy consumed by HVAC fan and other peripherals
HVAC Heating,Average HVAC <Heating or Cooling> COP (-),4,FALSE,,,,TRUE,Average coefficient of performance of HVAC equipment (excludes fan and other peripherals)
HVAC Heating,Average HVAC <Heating or Cooling> Duct Efficiency (-),4,FALSE,,,,TRUE,Average duct efficiency of HVAC equipment
HVAC Heating,Average HVAC Heating Capacity (kW),8,FALSE,,0.5,5,FALSE,
HVAC Heating,HVAC Heating Main Energy (kWh),5,TRUE,,200,5,FALSE,
HVAC Heating,HVAC Heating Fan Energy (kWh),4,TRUE,,200,5,FALSE,
HVAC Heating,Average HVAC Heating COP (-),4,TRUE,,0.05,5,FALSE,
HVAC Heating,Average HVAC Heating Duct Efficiency (-),4,TRUE,,0.05,5,FALSE,
HVAC Cooling,Average HVAC Cooling Capacity (kW),8,FALSE,,0.5,5,FALSE,
HVAC Cooling,HVAC Cooling Main Energy (kWh),5,TRUE,,200,5,FALSE,
HVAC Cooling,HVAC Cooling Fan Energy (kWh),4,TRUE,,200,5,FALSE,
HVAC Cooling,Average HVAC Cooling COP (-),4,TRUE,,0.05,5,FALSE,
HVAC Cooling,Average HVAC Cooling SHR (-),4,TRUE,,0.05,5,TRUE,Average sensible heat ratio of HVAC cooling equipment
HVAC Cooling,Average HVAC Cooling Duct Efficiency (-),4,TRUE,,0.05,5,FALSE,
Envelope,Std. Dev. Temperature - <zone name> (C),8,FALSE,,,,TRUE,Standard deviation of zone temperature
Envelope,Std. Dev. Temperature - Indoor (C),8,TRUE,,0.2,2,FALSE,
Envelope,Std. Dev. Temperature - Foundation (C),8,TRUE,,1,10,FALSE,
Envelope,Std. Dev. Temperature - Attic (C),8,TRUE,,1,10,FALSE,
Envelope,Std. Dev. Temperature - Garage (C),8,TRUE,,1,10,FALSE,
Envelope,Average Relative Humidity - Indoor (-),,FALSE,,0.05,5,TRUE,Average Relative Humidity of Indoor zone
Envelope,Average Humidity Ratio - Indoor (-),,FALSE,,0.05,5,TRUE,Average Humidity Ratio of Indoor zone
Water Heating,Total Hot Water Unmet Demand (kWh),4,FALSE,,,,TRUE,Unmet water heating load. Based on the difference between actual and desired temperature and the duration of the unmet load
Water Heating,Total Hot Water Delivered (gal/day),4,FALSE,,,,TRUE,Total volume of hot water delivered to water draws
Water Heating,Total Hot Water Delivered (kWh),4,TRUE,,200,5,TRUE,Total energy of hot water delivered to water draws
Water Heating,Total Water Heating Delivered (kWh),4,FALSE,,,,TRUE,Total energy of hot water delivered by the water heater
Water Heating,Average Water Heating COP (-),4,FALSE,,,,TRUE,Average coefficient of performance of water heater
Battery,Average Islanding Time (hours),4,FALSE,,,,TRUE,The average duration that the home could island using battery power given no changes in other equipment power
Battery,Battery Charging Energy (kWh),4,FALSE,,,,TRUE,Total real electric energy consumed by the battery during charging
Battery,Battery Discharging Energy (kWh),4,FALSE,,,,TRUE,Total real electric energy produced by the battery during discharging
Battery,Battery Round-trip Efficiency (-),4,FALSE,,,,TRUE,Average round-trip efficiency. Ignores differences between initial and final SOC
Gas Generator,Gas Generator Efficiency (-),4,FALSE,,,,TRUE,Average efficiency of electricity outputs to gas inputs
Dwelling,Number of Outages,4,FALSE,,,,TRUE,Total number of outages during simulation
Dwelling,Average Outage Duration (hours),4,FALSE,,,,TRUE,Average duration of outages during simulation
Dwelling,Longest Outage Duration (hours),4,FALSE,,,,TRUE,Duration of longest outage during simulation
Other,<equipment name> Cycles,5,FALSE,,,,TRUE,Number of cycles of the equipment (On/Off cycles only)
Other,<equipment name> <mode name> Cycles,5,FALSE,,,,TRUE,Number of cycles of the equipment with multiple modes
TS Mean,Total Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Heating Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,HVAC Cooling Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Water Heating Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Other Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Lighting Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Exterior Lighting Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Garage Lighting Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Basement Lighting Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Cooking Range Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Dishwasher Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
TS Mean,Refrigerator Electric Power (kW) MEAN,,FALSE,,0.02,5,FALSE,
