Category,Equipment Name,Included in OCHRE,Zp,Ip,Pp,Zq,Iq,Pq,pf,ZIP Reference,Notes
Other,Exterior Lighting,TRUE,0.54,0.5,-0.04,0.46,0.51,0.03,1,,Copied from Lighting
Other,Garage Lighting,TRUE,0.54,0.5,-0.04,0.46,0.51,0.03,1,,Copied from Lighting
Other,Basement Lighting,TRUE,0.54,0.5,-0.04,0.46,0.51,0.03,1,,Copied from Lighting
Other,MELs,TRUE,0.36147,-0.08583,0.72436,8.39985,-14.1677,6.76785,0.8,TBD,
Other,Basement MELs,TRUE,0.36147,-0.08583,0.72436,8.39985,-14.1677,6.76785,0.8,TBD,
Other,Ventilation Fan,TRUE,0.26,0.9,-0.16,0.5,0.62,-0.12,0.87,,Copied from fans
Other,ceiling_fan,FALSE,0.26,0.9,-0.16,0.5,0.62,-0.12,0.87,,Not used
Other,pool_heater,FALSE,0.92,0.1,-0.02,0.15,0.86,-0.01,1,,Not used
Other,pool_pump,FALSE,0.72,-0.98,1.26,14.78,-23.71,9.93,0.84,,Not used
Other,hot_tub_heater,FALSE,0.92,0.1,-0.02,0.15,0.86,-0.01,1,,Not used
Other,hot_tub_pump,FALSE,0.72,-0.98,1.26,14.78,-23.71,9.93,0.84,,Not used
Other,well_pump,FALSE,0.72,-0.98,1.26,14.78,-23.71,9.93,0.84,,Not used
